Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8,Data_9,Data_10,Data_11,Data_12,Data_13,Data_14,Data_15,Data_16,TimeStampGlob
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.684302806854248
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.693753719329834
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702969789505005
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.712396860122681
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.721947193145752
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731590270996094
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741482973098755
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.751067161560059
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.760673761367798
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.770391225814819
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.779810428619385
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789534091949463
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.799055814743042
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.808740377426147
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818373918533325
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827761650085449
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.837472677230835
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847219228744507
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.856844663619995
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.866362333297729
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875818014144897
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.885358810424805
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.895049333572388
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.904360771179199
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.913792848587036
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923754692077637
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933248043060303
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.943064451217651
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.952368021011353
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961984634399414
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971480369567871
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.980992078781128
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990668773651123
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00048494338989
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00997877120972
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01959609985352
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02930569648743
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03872060775757
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.04845190048218
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.05794930458069
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06733536720276
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.07711362838745
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08678412437439
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09622287750244
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10592484474182
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1153244972229
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.1249475479126
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.13454532623291
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14422273635864
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15388941764832
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16337037086487
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17294692993164
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18242788314819
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.19181561470032
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20161509513855
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21085906028748
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.22075939178467
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22998785972595
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23952960968018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.24911904335022
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.25876951217651
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26824355125427
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27815914154053
