Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8,Data_9,Data_10,Data_11,Data_12,Data_13,Data_14,Data_15,Data_16,TimeStampGlob
168,6,180,308,579,198,314,450,336,0,1,174,43,2,3,2,1.66050553321838
265,7,250,315,605,223,322,450,364,0,0,162,44,0,5,1,1.67069602012634
225,8,242,321,614,223,319,455,370,7,0,169,34,0,4,4,1.6809868812561
191,5,207,336,590,174,293,418,349,0,0,168,20,0,6,2,1.69162464141846
194,66,208,350,623,178,304,385,374,0,30,232,7,0,4,1,1.70226263999939
199,20,209,348,487,155,181,347,275,0,0,165,5,0,4,0,1.71325540542603
195,5,123,341,645,185,308,315,388,0,0,182,0,0,3,3,1.72343730926514
208,11,317,367,646,179,302,485,416,155,17,172,51,1,6,108,1.73422288894653
219,7,237,414,661,123,283,328,389,0,96,200,0,67,4,82,1.74467444419861
223,8,234,379,674,116,283,258,385,8,0,155,32,0,12,37,1.75461935997009
232,7,225,393,670,120,224,267,373,0,0,119,0,0,7,4,1.76538777351379
240,3,228,345,682,110,214,252,369,0,0,143,0,0,5,3,1.77591466903687
251,6,220,385,684,107,244,235,364,0,1,139,74,1,4,63,1.78620195388794
250,11,221,492,686,99,244,216,358,0,30,128,3,50,8,4,1.79688930511475
256,7,213,417,685,99,209,214,354,0,0,118,1,20,6,2,1.80712270736694
285,6,201,487,686,99,198,210,313,0,1,96,0,0,9,10,1.81770443916321
271,6,193,507,661,96,180,203,195,0,0,61,2,0,1,4,1.82769346237183
306,0,204,426,662,101,158,190,297,0,0,52,0,0,6,4,1.8382887840271
278,89,163,606,624,103,139,195,358,0,9,51,0,0,10,2,1.84896039962769
277,11,126,480,564,144,158,240,332,3,0,37,0,0,44,1,1.85949420928955
288,8,63,443,443,90,181,250,281,0,0,37,1,0,9,2,1.86973977088928
234,6,1,370,317,52,215,261,213,0,0,1,2,0,4,0,1.87993025779724
106,0,2,255,211,62,225,301,219,0,1,1,0,0,9,3,1.88990497589111
183,7,100,166,179,27,222,312,213,3,0,1,2,0,12,6,1.90024328231812
13,27,5,67,58,7,178,286,202,0,5,21,0,0,13,4,1.9104585647583
16,3,9,3,20,70,132,175,127,3,4,2,1,0,14,4,1.92089009284973
41,9,40,0,6,1,74,32,91,0,3,3,0,0,14,6,1.93058180809021
25,8,9,0,17,0,1,3,60,0,2,2,0,1,11,2,1.94026851654053
9,27,2,3,127,4,30,5,141,0,0,2,0,0,10,1,1.95009064674377
2,197,3,10,30,0,0,0,15,0,21,101,0,0,9,2,1.9604332447052
0,1,0,0,3,96,0,40,0,5,0,0,0,0,6,3,1.96993112564087
1,31,1,0,3,28,0,4,3,0,0,0,0,0,7,1,1.97946190834045
131,32,36,0,5,1,0,0,5,0,0,0,0,0,8,1,1.9892725944519
8,3,2,0,0,79,0,6,41,0,3,2,1,0,14,2,1.99875783920288
116,13,50,9,1,1,0,1,4,0,2,0,0,0,8,2,2.00865340232849
55,0,9,46,0,0,3,2,0,1,3,0,0,0,6,11,2.018235206604
4,1,0,17,0,0,0,0,50,0,0,0,0,0,8,3,2.02801728248596
6,0,0,5,0,4,0,0,1,0,2,0,0,1,17,5,2.03744554519653
0,11,0,2,0,0,0,0,3,0,0,0,0,2,11,4,2.04732227325439
0,0,0,11,0,0,0,0,0,0,0,0,0,17,9,3,2.05723118782043
56,0,0,0,0,0,0,0,0,1,1,0,54,0,10,1,2.06674027442932
0,20,0,0,0,0,0,0,0,0,116,5,0,0,1,0,2.076327085495
0,0,0,0,0,0,0,2,2,3,14,0,95,17,10,10,2.08605742454529
0,0,0,4,0,5,0,0,0,26,1,0,80,0,32,7,2.09602308273315
0,0,0,0,0,0,0,0,0,11,3,0,5,0,32,0,2.10558652877808
0,0,0,0,2,0,0,0,6,0,5,0,0,0,10,0,2.11541604995728
0,0,0,90,0,0,0,0,12,0,90,0,0,0,7,1,2.12570261955261
0,0,0,2,0,0,22,0,12,0,1,0,0,75,7,5,2.13517427444458
0,0,0,50,0,0,1,1,6,0,67,5,11,8,8,7,2.1447274684906
0,0,0,6,0,0,8,0,16,0,25,5,20,6,14,10,2.15431308746338
6,1,0,0,0,0,0,1,7,2,4,41,0,0,11,9,2.16414070129395
0,0,21,61,1,0,9,1,8,1,83,38,5,14,8,8,2.17390441894531
17,0,100,4,0,0,0,0,10,0,4,0,152,0,6,142,2.18381690979004
0,8,0,117,0,0,0,0,17,0,183,106,0,2,5,11,2.19403886795044
0,0,0,0,7,0,50,84,18,38,6,0,15,73,11,27,2.20389556884766
0,0,0,0,1,4,0,13,23,4,8,0,52,1,0,77,2.21366739273071
