Time,data
1738248614.3848279,-14.43544087056912
1738248614.4014363,-13.20535729027985
1738248614.4169378,-12.252613400023678
1738248614.4346714,-11.385638631600205
1738248614.45175,-10.28332189551158
1738248614.466911,-9.349557994787968
1738248614.4850566,-8.427539783761082
1738248614.5011802,-8.160965410497814
1738248614.5169191,-7.701670198267675
1738248614.535281,-7.916481853054637
1738248614.5515575,-7.968023134927351
1738248614.5669045,-8.194108160465404
1738248614.5851665,-8.7596052621515
1738248614.6019986,-9.281448790638567
1738248614.6172152,-10.424451963624946
1738248614.6356921,-11.571291914386967
1738248614.65194,-13.049144991093627
1738248614.667174,-14.022291055684487
1738248614.6854427,-14.694000866736705
1738248614.702041,-15.564264733196426
1738248614.7167938,-15.09323603515895
1738248614.735622,-14.811596216083048
1738248614.7516365,-14.768677733354467
1738248614.7679613,-15.22024693614078
1738248614.7849956,-16.20364078595263
1738248614.8017378,-18.011653505288997
1738248614.8170176,-19.777969605216242
1738248614.8353517,-20.03056474391208
1738248614.852027,-19.52018255218769
1738248614.867705,-18.540258210862756
1738248614.8851728,-18.4335692611911
1738248614.901551,-18.144808182932373
1738248614.9172432,-18.596627283915456
1738248614.935298,-18.54392258270033
1738248614.9520094,-18.40792201229514
1738248614.9673808,-17.805257071247077
1738248614.9855247,-17.050914843964083
1738248615.0023997,-16.131908254727055
1738248615.017201,-15.21494586455566
1738248615.0355349,-14.272474309682156
1738248615.0519683,-13.852290166182062
1738248615.0674577,-13.238938488179564
1738248615.0850348,-12.865482406952268
1738248615.102469,-11.98979159597984
1738248615.1177537,-11.358097615787795
1738248615.1352112,-10.479931491246115
1738248615.1529894,-9.485442141388585
1738248615.1671758,-8.249806898939113
1738248615.1853642,-6.917502239363204
1738248615.2022972,-5.7969549767536215
1738248615.2178361,-4.847658559035101
1738248615.2351434,-4.2405041395275065
1738248615.2529323,-3.7602498385400276
1738248615.2678258,-3.0998552592361235
1738248615.2850633,-2.025592642841572
1738248615.302856,-0.9960739293054667
1738248615.318042,0.03806521161740952
1738248615.335944,0.8241447504423133
1738248615.3528907,1.854584210380588
1738248615.3683743,2.8914802491322864
1738248615.3864295,3.8355793122204163
1738248615.402484,4.159640440282706
1738248615.4175596,4.634501616124631
1738248615.4359386,5.0808293502816175
1738248615.4535375,5.287370663990577
1738248615.467954,5.190170549821107
1738248615.486088,4.368563282809621
1738248615.5030627,2.541948988149588
1738248615.5178673,0.491500597932607
1738248615.5362144,-2.527943919884448
1738248615.5543852,-6.410032453571078
1738248615.568852,-10.786457117756045
1738248615.5872517,-14.167743299524243
1738248615.6043818,-15.034918922194489
1738248615.6195312,-15.212962163008719
1738248615.637026,-14.675710146670273
1738248615.654525,-13.900623046782052
1738248615.6701062,-13.535568963864169
1738248615.687234,-12.708397108081206
1738248615.7046528,-11.540170469218149
1738248615.7206464,-10.90494913465476
1738248615.7370386,-10.481338057008468
1738248615.7547479,-9.622624697416803
1738248615.7706747,-8.537082964285771
1738248615.7877283,-7.654429043033415
1738248615.804932,-7.144410301274921
1738248615.820513,-6.899716805539755
1738248615.8375325,-7.065707728412731
1738248615.8546433,-7.242122235369508
1738248615.8704755,-7.389928716686144
1738248615.88738,-7.801318798705203
1738248615.905085,-8.895560921823924
1738248615.9210591,-9.957723829392688
1738248615.9374602,-11.126995771488778
1738248615.9553442,-12.779906584890151
1738248615.9708452,-13.971983822458885
1738248615.9876423,-14.882614299886567
1738248616.0051825,-15.764588151610166
1738248616.0211194,-16.23263835388607
1738248616.0376232,-16.147061908328702
1738248616.0552146,-16.28649525360859
1738248616.0710742,-16.567206023809383
1738248616.087732,-18.52440530455057
1738248616.1058612,-19.914973206435814
1738248616.1214213,-21.46329210531121
1738248616.1380932,-21.41434183351002
1738248616.155653,-20.99423588350202
1738248616.1719859,-20.26425637964006
1738248616.1878529,-19.545304492010764
1738248616.2051349,-19.320945984834207
