Time,Phase_Change_Indices
1738245263.7531898,0.0
1738245263.7706792,0.0
1738245263.78573,0.0
1738245263.804261,0.0
1738245263.8212514,0.0
1738245263.836589,0.0
1738245263.8539128,0.0
1738245263.8715224,0.0
1738245263.886906,0.0
1738245263.9047406,0.0
1738245263.9220102,0.0
1738245263.9372437,0.0
1738245263.954361,0.0
1738245263.9721456,0.0
1738245263.9870243,0.0
1738245264.0050447,0.0
1738245264.0226576,0.0
1738245264.0372095,0.0
1738245264.0546243,0.0
1738245264.07207,0.0
1738245264.0880044,0.0
1738245264.1051784,0.0
1738245264.1232483,0.0
1738245264.1379707,0.0
1738245264.1556964,0.0
1738245264.173073,0.0
1738245264.1886888,0.0
1738245264.205868,0.0
1738245264.2232037,0.0
1738245264.238909,0.0
1738245264.2563715,0.0
1738245264.2739189,0.0
1738245264.2894075,0.0
1738245264.3068566,0.0
1738245264.323758,0.0
1738245264.3397803,0.0
1738245264.3570943,0.0
1738245264.3737674,0.0
1738245264.389565,0.0
1738245264.406522,0.0
1738245264.424164,0.0
1738245264.4391816,0.0
1738245264.456878,0.0
1738245264.4736595,0.0
1738245264.4891727,0.0
1738245264.506535,0.0
1738245264.5240924,0.0
1738245264.5386388,0.0
1738245264.5565448,0.0
1738245264.5737412,0.0
1738245264.5890152,0.0
1738245264.6059656,0.0
1738245264.6234343,0.0
1738245264.6385417,0.0
1738245264.6562755,0.0
1738245264.67327,0.0
1738245264.688844,0.0
1738245264.7060366,0.0
1738245264.7242413,0.0
1738245264.7382188,0.0
1738245264.7566278,0.0
1738245264.773454,0.0
1738245264.7886708,0.0
1738245264.8060713,0.0
1738245264.8237672,0.0
1738245264.8386931,0.0
1738245264.8558912,0.0
1738245264.874172,0.0
1738245264.8887212,0.0
1738245264.9067063,0.0
1738245264.9243088,0.0
1738245264.9387214,0.0
1738245264.9568956,0.0
1738245264.973866,0.0
1738245264.9893548,0.0
1738245265.0071478,0.0
1738245265.02413,0.0
1738245265.0389783,0.0
1738245265.0567849,0.0
1738245265.0739653,0.0
1738245265.0891352,0.0
1738245265.106939,0.0
1738245265.1239843,0.0
1738245265.1393576,0.0
1738245265.1564732,0.0
1738245265.1739078,0.0
1738245265.189539,0.0
1738245265.2067266,0.0
1738245265.224074,0.0
1738245265.2392008,0.0
1738245265.2570264,0.0
1738245265.273994,0.0
1738245265.2887638,0.0
1738245265.3076687,0.0
1738245265.324046,0.0
1738245265.3394532,0.0
1738245265.3564951,0.0
1738245265.374007,0.0
1738245265.3885612,0.0
1738245265.4066153,0.0
1738245265.424102,0.0
1738245265.4396114,0.0
1738245265.4569514,0.0
1738245265.474702,0.0
1738245265.4892712,0.0
1738245265.5077746,0.0
1738245265.5246472,0.0
1738245265.5400283,0.0
1738245265.557014,0.0
1738245265.5753753,0.0
1738245265.5896964,0.0
1738245265.6076446,0.0
1738245265.624784,0.0
1738245265.6401422,0.0
1738245265.657996,0.0
1738245265.675201,0.0
1738245265.689589,0.0
1738245265.7082405,0.0
1738245265.725327,0.0
1738245265.7399948,0.0
1738245265.758015,0.0
1738245265.775257,0.0
1738245265.790336,0.0
1738245265.808404,0.0
1738245265.8254762,0.0
1738245265.8404324,0.0
1738245265.8574786,0.0
1738245265.8752196,0.0
