Time,data
1738245005.0151308,3
1738245005.0246685,3
1738245005.0364485,3
1738245005.0457177,3
1738245005.057008,3
1738245005.066017,3
1738245005.0756507,3
1738245005.0857131,3
1738245005.0982156,3
1738245005.1068156,3
1738245005.1166947,3
1738245005.1268218,3
1738245005.1361952,3
1738245005.1455464,3
1738245005.1573317,3
1738245005.167025,3
1738245005.1760325,3
1738245005.1855927,3
1738245005.196706,3
1738245005.2049136,3
1738245005.2164195,3
1738245005.225729,3
1738245005.2368257,3
1738245005.2457216,3
1738245005.2562716,3
1738245005.2654917,3
1738245005.277112,3
1738245005.2863638,3
1738245005.2983038,3
1738245005.304271,3
1738245005.3159473,3
1738245005.3241677,3
1738245005.3347883,3
1738245005.3458056,3
1738245005.3553402,3
1738245005.3660407,3
1738245005.3779864,3
1738245005.386965,3
1738245005.3945985,3
1738245005.407,3
1738245005.4156444,3
1738245005.4260225,2
1738245005.4372964,2
1738245005.4462698,2
1738245005.4583056,2
1738245005.4664433,0
1738245005.478457,0
1738245005.4873304,0
1738245005.498404,0
1738245005.5048683,0
1738245005.516946,0
1738245005.5272462,0
1738245005.5356534,0
1738245005.5470052,0
1738245005.5562534,0
1738245005.5661838,0
1738245005.577853,0
1738245005.5875707,0
1738245005.5965896,0
1738245005.6067345,0
1738245005.616908,0
1738245005.6299777,0
1738245005.6389296,0
1738245005.6486106,0
1738245005.6577563,0
1738245005.6680357,0
1738245005.6782336,0
1738245005.6904616,0
1738245005.701083,0
1738245005.7110987,0
1738245005.7201736,0
1738245005.729318,0
1738245005.7425425,0
1738245005.7510386,0
1738245005.761526,0
1738245005.7731264,0
1738245005.7813582,0
1738245005.7908523,0
1738245005.8036957,0
1738245005.8115091,0
1738245005.822407,0
1738245005.8316903,0
1738245005.84262,0
1738245005.8544216,0
1738245005.8627846,0
1738245005.8748941,0
1738245005.88316,0
1738245005.8924513,0
1738245005.9049196,0
1738245005.9140744,0
1738245005.9246712,0
1738245005.9348662,0
1738245005.943831,0
1738245005.9556837,0
1738245005.9649274,0
1738245005.9764774,0
1738245005.9858875,0
1738245005.9963295,0
1738245006.0052934,0
1738245006.0162344,0
1738245006.0259283,0
1738245006.0399737,0
1738245006.046698,0
1738245006.0591564,0
1738245006.0689933,0
1738245006.0795333,0
1738245006.0918267,0
1738245006.1025317,0
1738245006.1129212,0
1738245006.1194022,0
1738245006.1301432,0
1738245006.1419282,0
1738245006.1522238,0
1738245006.1612017,0
